

new entry "SP_Shout_ResistAcid"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Abjuration"
data "SpellProperties" "ApplyStatus(PROTECTION_FROM_ENERGY_ACID, 100, 2)"
data "DisplayName" "h097848a4g9417g48e4gb2b7g14a5dc4e1cc7;1"
data "Description" "had5b7526gb25cg484fg8105gc614f7d283d8;1"
data "Icon" "Spell_Abjuration_ProtectionFromEnergy_Acid"
data "PrepareSound" "Spell_Prepare_Buff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Buff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Buff_ProtectionFromEnergyAcid_L1to3"
data "TargetSound" "Spell_Impact_Buff_ProtectionFromEnergyAcid_L1to3"
data "VocalComponentSound" "Vocal_Component_ResistAcid"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;8252328a-66dd-4dc0-bbe0-00eea3204922,,;982d842b-5d44-4ef6-ab33-14d5ae514a50,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;2f5d8e0b-35f3-416f-99e9-1cc9d942204e,,;f2ec369f-4a3b-451e-b954-2ab0a53d51d6,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;IsSpell;IsMelee"
data "HitAnimationType" "MagicalNonDamage"
data "PrepareEffect" "33302a46-4a12-41dd-8845-6b7314d50022"
data "CastEffect" "bcd66fb0-b0bc-41d0-abba-ad443d63dd72"
data "TargetEffect" "f141b11e-049f-4f25-927b-0c17180b08e6"

