new entry "SP_SC_BellyHealer_Selfless"
type "PassiveData"
data "DisplayName" "h012601ccgea72g43b0g91b2g572f03bbb6d4;1"
data "Description" "he1147466g80a3g40ccgbbe1gdf4994ed93dd;2"
data "DescriptionParams" ""
data "Icon" "Skill_Sorcerer_Passive_Metamagic_DistantSpell"
data "Properties" "IsToggled;ToggledDefaultAddToHotbar;MetaMagic"
data "Boosts" "UnlockSpellVariant(DistantTouchSpellCheck(),ModifyTargetRadius(Override,1),ModifySpellFlags(Melee,1))"
data "ToggleOnEffect" "VFX_Spells_Cast_Sorcerer_Metamagic_Distant_HeadFX_01:Dummy_HeadFX"
data "ToggleOffContext" "OnCastResolved"
data "ToggleGroup" "Metamagic"
