new entry "SP_Interrupt_SecondhandSwallow_Lethal_O"
type "InterruptData"
data "DisplayName" "hc9172302ge2acg4594g8bbcga4c5ae49ca22;1"
data "Description" "h91cb0e9fg1751g4157g8754g4e53aa094c79;3"
data "Icon" "PassiveFeature_AttackOfOpportunity"
data "InterruptContext" "OnPostRoll"
data "InterruptContextScope" "Nearby"
data "Container" "YesNoDecision"
data "Conditions" "HasStatus(context.Source, SP_Has_Secondhand_Pred_In_O) and Ally(context.Source, context.Observer) and not Self(context.Target,context.Observer)"
data "Properties" ""
data "InterruptDefaultValue" "Enabled"
data "EnableCondition" "HasStatus(SP_Swallowed_Endo)"
data "EnableContext" "OnStatusApplied;OnStatusRemoved"
